external_id,first_name,last_name,full_name,display_name,short_name,team_id
4036348,Michael,Gallup,Michael Gallup,Michael Gallup,M. Gallup,28
3917949,Julian,Good-Jones,Julian Good-Jones,Julian Good-Jones,J. Good-Jones,28
2576789,Bobby,Hart,Bobby Hart,Bobby Hart,B. Hart,28
4361994,Sam,Hartman,Sam Hartman,Sam Hartman,S. Hartman,28
4044438,Nate,Herbig,Nate Herbig,Nate Herbig,N. Herbig,28
3916564,Tyree,Jackson,Tyree Jackson,Tyree Jackson,T. Jackson,28
11394,Josh,Johnson,Josh Johnson,Josh Johnson,J. Johnson,28
5083297,Jacoby,Jones,Jacoby Jones,Jacoby Jones,J. Jones,28
4602667,Jaylin,Lane,Jaylin Lane,Jaylin Lane,J. Lane,28
2576980,Marcus,Mariota,Marcus Mariota,Marcus Mariota,M. Mariota,28
4245144,Tay,Martin,Tay Martin,Tay Martin,T. Martin,28
4426948,Luke,McCaffrey,Luke McCaffrey,Luke McCaffrey,L. McCaffrey,28
4568320,Timothy,McKay,Timothy McKay,Timothy McKay,T. McKay,28
3121422,Terry,McLaurin,Terry McLaurin,Terry McLaurin,T. McLaurin,28
3127586,Jeremy,McNichols,Jeremy McNichols,Jeremy McNichols,J. McNichols,28
2576581,Chris,Moore,Chris Moore,Chris Moore,C. Moore,28
3916566,K.J.,Osborn,K.J. Osborn,K.J. Osborn,K.J. Osborn,28
4244615,Chris,Paul,Chris Paul,Chris Paul,C. Paul,28
4242247,Tyre,Phillips,Tyre Phillips,Tyre Phillips,T. Phillips,28
4241474,Brian,Robinson Jr.,Brian Robinson Jr.,Brian Robinson Jr.,B. Robinson Jr.,28
4362619,Chris,Rodriguez Jr.,Chris Rodriguez Jr.,Chris Rodriguez Jr.,C. Rodriguez Jr.,28
3126486,Deebo,Samuel Sr.,Deebo Samuel Sr.,Deebo Samuel Sr.,D. Samuel Sr.,28
4242555,Foster,Sarell,Foster Sarell,Foster Sarell,F. Sarell,28
3123303,Trent,Scott,Trent Scott,Trent Scott,T. Scott,28
4690923,Ben,Sinnott,Ben Sinnott,Ben Sinnott,B. Sinnott,28
4589245,Mike,Strachan,Mike Strachan,Mike Strachan,M. Strachan,28
3051890,Laremy,Tunsil,Laremy Tunsil,Laremy Tunsil,L. Tunsil,28
4361438,Cole,Turner,Cole Turner,Cole Turner,C. Turner,28
3042702,Andrew,Wylie,Andrew Wylie,Andrew Wylie,A. Wylie,28
4361088,Colson,Yankoff,Colson Yankoff,Colson Yankoff,C. Yankoff,28
4574689,Trey,Amos,Trey Amos,Trey Amos,T. Amos,28
3928979,Dorance,Armstrong,Dorance Armstrong,Dorance Armstrong,D. Armstrong,28
4429224,Kam,Arnold,Kam Arnold,Kam Arnold,K. Arnold,28
4428343,Ricky,Barber,Ricky Barber,Ricky Barber,R. Barber,28
14471,Nick,Bellore,Nick Bellore,Nick Bellore,N. Bellore,28
4363097,Percy,Butler,Percy Butler,Percy Butler,P. Butler,28
4429488,Fentrell,Cypress II,Fentrell Cypress II,Fentrell Cypress II,F. Cypress II,28
2511690,Carl,Davis Jr.,Carl Davis Jr.,Carl Davis Jr.,C. Davis Jr.,28
2976194,Sheldon,Day,Sheldon Day,Sheldon Day,S. Day,28
4374148,Viliami,Fehoko Jr.,Viliami Fehoko Jr.,Viliami Fehoko Jr.,V. Fehoko Jr.,28
3728258,Clelin,Ferrell,Clelin Ferrell,Clelin Ferrell,C. Ferrell,28
4242655,Allan,George,Allan George,Allan George,A. George,28
2969924,Eddie,Goldman,Eddie Goldman,Eddie Goldman,E. Goldman,28
4361094,Dominique,Hampton,Dominique Hampton,Dominique Hampton,D. Hampton,28
3915297,Will,Harris,Will Harris,Will Harris,W. Harris,28
3121414,Jalyn,Holmes,Jalyn Holmes,Jalyn Holmes,J. Holmes,28
4242516,Noah,Igbinoghene,Noah Igbinoghene,Noah Igbinoghene,N. Igbinoghene,28
4361357,Javontae,Jean-Baptiste,Javontae Jean-Baptiste,Javontae Jean-Baptiste,J. Jean-Baptiste,28
